eventName,time,subjectName,objectBehavior,,,
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null,,,
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null,,,
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:40:432,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:40:432,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:40:432,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:40:432,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:40:432,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:40:432,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:43:433,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:43:433,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:43:433,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:43:433,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:43:433,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:43:433,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:43:433,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:43:433,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:43:433,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null,,,
PersonExitsZone,2020-06-09 17:20:10:423,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:10:423,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:10:423,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:10:423,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:10:423,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:10:423,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:13:425,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:13:425,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:13:425,Laura,null,,,
PersonEntersZone,2020-06-09 17:20:13:426,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:13:426,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:13:426,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:13:426,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:13:426,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:13:426,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:17:424,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:17:424,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:17:424,Minetto,null,,,
PersonExitsZone,2020-06-09 17:20:17:425,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:17:425,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:17:425,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:17:425,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:17:425,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:17:425,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:20:426,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:20:426,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:20:426,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:20:427,Kitchen,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:20:427,Kitchen,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:20:427,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:20:427,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:20:427,Kitchen,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:20:427,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:30:429,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:30:429,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:30:429,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null,,,
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:35:431,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:35:431,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:35:431,Minetto,null,,,
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null,,,
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null,,,
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:40:432,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:40:432,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:40:432,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:40:432,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:40:432,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:40:432,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:43:433,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:43:433,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:43:433,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:43:433,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:43:433,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:43:433,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:43:433,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:43:433,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:43:433,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null,,,
PersonExitsZone,2020-06-09 17:20:10:423,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:10:423,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:10:423,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:10:423,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:10:423,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:10:423,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:13:425,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:13:425,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:13:425,Laura,null,,,
PersonEntersZone,2020-06-09 17:20:13:426,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:13:426,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:13:426,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:13:426,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:13:426,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:13:426,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:17:424,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:17:424,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:17:424,Minetto,null,,,
PersonExitsZone,2020-06-09 17:20:17:425,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:17:425,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:17:425,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:17:425,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:17:425,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:17:425,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:20:426,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:20:426,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:20:426,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:20:427,Kitchen,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:20:427,Kitchen,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:20:427,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:20:427,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:20:427,Kitchen,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:20:427,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:30:429,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:30:429,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:30:429,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null,,,
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:35:431,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:35:431,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:35:431,Minetto,null,,,
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:35:431,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:35:431,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:36:428,Laura,null,,,
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:36:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:36:429,Bathroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:39:430,Laura,null,,,
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:39:430,Bedroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:40:431,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:40:432,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:40:432,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:40:432,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:40:432,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:40:432,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:40:432,Bathroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:43:433,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:43:433,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:43:433,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:43:433,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:43:433,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:43:433,Bedroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:43:433,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:43:433,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:43:433,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:10:423,Laura,null,,,
PersonExitsZone,2020-06-09 17:20:10:423,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:10:423,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:10:423,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:10:423,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:10:423,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:10:423,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:13:425,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:13:425,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:13:425,Laura,null,,,
PersonEntersZone,2020-06-09 17:20:13:426,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:13:426,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:13:426,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:13:426,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:13:426,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:13:426,Utility room,34486de5-8731-4e5a-908f-dc1bf25db124,,,
ObjectHasChangedBehavior,2020-06-09 17:20:17:424,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:17:424,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:17:424,Minetto,null,,,
PersonExitsZone,2020-06-09 17:20:17:425,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:17:425,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:17:425,Livingroom,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:17:425,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:17:425,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:17:425,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:20:426,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:20:426,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:20:426,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:20:427,Kitchen,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:20:427,Kitchen,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:20:427,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:20:427,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:20:427,Kitchen,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonExitsZone,2020-06-09 17:20:20:427,Dress room,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:30:429,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:30:429,Minetto,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:30:429,Minetto,null,,,
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
PersonEntersZone,2020-06-09 17:20:30:429,Office,067abaec-0786-4e52-a4af-2b55cf30e944,,,
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null,,,
ObjectHasChangedBehavior,2020-06-09 17:20:31:428,Laura,null,,,
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonEntersZone,2020-06-09 17:20:31:429,Livingroom,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
PersonExitsZone,2020-06-09 17:20:31:429,Kitchen,34486de5-8731-4e5a-908f-dc1bf25db124,,,
